month, bbcfour, bbcnews24, bbcone, bbcthree, bbctwo, cbbc, cbeebies
"2009-01",324,1075,940,441,1040,898,1343
"2009-02",295,958,904,434,1038,793,1246
"2009-03",314,1062,980,494,1158,914,1461
"2009-04",336,1022,987,488,1014,792,1382
"2009-05",332,1073,1002,512,1104,840,1368
"2009-06",311,981,837,432,1002,801,1265
"2009-07",321,1049,921,489,963,881,1340
"2009-08",294,1071,960,506,910,885,1312
"2009-09",281,1020,952,502,1068,914,1397
"2009-10",319,1058,985,546,1184,1031,1448
"2009-11",300,1021,967,474,1176,1009,1387
"2009-12",307,1027,924,427,1024,844,1300
